YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1991,25.6,25.3,24.9,23.8,22.3,20.3,19.5,20,21.4,22.7,23.9,24.4,23.7,19.9,22.7,24.7,22.8
1992,25.2,24.6,25.4,24.3,22.6,20.3,19,19.9,21.2,22.8,24,24.5,24.1,19.7,22.7,24.9,22.8
1993,25.2,25,24.4,23.9,22.2,20.7,19.6,19.9,20.9,22.7,23.8,24.7,23.5,20.1,22.5,25.1,22.7
1994,25,25.6,25,24.5,22.6,20.7,19.1,21.1,21.9,22.9,24.1,24.9,24,20.3,23,25.1,23.1
1995,25.1,25.4,24.8,24,22.3,20.1,20.1,20.7,21.6,23.3,23.9,24.7,23.7,20.3,22.9,25,23
1996,25.2,25.1,25,23.8,22.3,20.3,19.4,19.7,21.9,22.4,24.3,24.9,23.7,19.8,22.9,24.9,22.9
1997,25,24.9,25.1,24,22.1,20.9,19.8,20.5,21.8,22.8,24.9,25.3,23.8,20.4,23.2,25.7,23.1
1998,25.9,25.9,25.9,24.5,22.7,20.8,20.1,20.6,21.7,22.9,24.6,24.7,24.4,20.5,23.1,25,23.4
1999,25,25.4,25.2,23.8,22.1,20.5,19.6,20.3,21.6,22.5,24.1,25,23.7,20.1,22.7,25.1,22.9
2000,25.2,25.1,25,24.3,22.5,20.8,19.7,20.4,21.5,22.8,24.3,24.8,23.9,20.3,22.9,25.2,23
2001,25.2,25.6,25.6,24.3,22.7,20.1,19.7,20.6,21.3,22.9,23.8,24.6,24.2,20.1,22.7,24.8,23
2002,24.8,25,25.1,23.8,22.3,20.4,20.2,20.8,21.5,23.3,24.5,24.9,23.7,20.5,23.1,25.2,23.1
2003,25.2,25.4,25.6,24.2,23.2,20.8,19.7,20,21.6,23.4,24.6,25.1,24.3,20.2,23.2,25.2,23.2
2004,25.1,25.3,25.1,24,21.8,19.8,19.9,20.6,22.2,23.2,24.3,25.1,23.6,20.1,23.2,25.5,23
2005,25.5,25.8,25.4,24.1,22.5,20.9,19.8,20.2,21.9,23.1,24.3,24.9,24,20.3,23.1,25,23.2
2006,25.5,24.5,25.3,24.3,22.3,20.7,20,20.5,21.3,23.1,24.5,25.4,24,20.4,23,25.4,23.1
2007,25.5,25.3,25.2,24.2,22.6,20.7,19.9,20.4,21.7,23.1,24.5,25.2,24,20.4,23.1,25.2,23.2
2008,25.3,25.2,24.6,23.5,22,20,20,20.3,21.5,23.3,24.4,25.1,23.4,20.1,23.1,25.5,22.9
2009,25.7,25.6,25,23.9,22.4,20.9,20.1,20.4,21.7,23.2,24.3,25.2,23.8,20.4,23.1,25.5,23.2
2010,25.5,25.8,25.6,24.8,23.5,21,20.4,20.6,21.7,23.8,24.5,25.3,24.6,20.7,23.3,25.4,23.5
2011,25.5,25.2,25.3,24.9,22.5,21.4,20.4,20.4,21.6,23.2,24.9,25.4,24.2,20.7,23.2,25.4,23.4
2012,25.1,25.6,25,24.2,22.5,21,20.1,20.8,22.1,23.4,24.4,25.4,23.9,20.6,23.3,25.5,23.3
2013,25.8,25.3,25.3,24.2,22.3,20.2,19.8,20.3,22.1,23.1,24.9,25.3,23.9,20.1,23.4,25.3,23.2
2014,25.4,25.3,25.6,24.2,22.5,21.2,20.5,21,21.9,23.7,24.7,25.6,24.1,20.9,23.4,25.4,23.5
2015,25.4,25.2,25.1,24.5,23,21.3,20.6,20.8,21.8,23.9,24.6,26,24.2,20.9,23.5,25.8,23.5
2016,25.7,25.8,25.9,24.7,21.8,20.3,19.8,20.9,21.9,23.5,24.4,25.7,24.1,20.3,23.3,25.8,23.4
2017,25.8,25.9,25.5,24.5,23.1,21.6,20.7,21.1,22.2,23.8,24.3,24.9,24.4,21.1,23.4,25,23.6
2018,24.9,25.1,25.2,24.2,23,21.3,20.1,21.4,22.5,23.1,24.5,25.7,24.1,20.9,23.4,25.5,23.4
2019,25.5,25.3,25.6,24.7,22.7,21,20.7,21.1,22.3,24.3,25.1,25.9,24.3,21,23.9,-999,23.7
